literature_id,source,mechanism,governing_equation,physical_inputs,state_variables,radius_exponent,activation_energy_source,prefactor_source,changes_density_directly,changes_shape_only,changes_migration_only,directly_implementable,missing_inputs,notes
L01,"Coble, J. Appl. Phys. 32 (1961), doi:10.1063/1.1736107",final-stage GB/volume diffusion,closed-pore shrinkage from curvature-driven diffusion,"D_GB,gamma,r,T,geometry","r,phi,T",geometry dependent,GB diffusivity,geometry,True,False,False,False,full text not locally available,primary bibliographic/abstract record; equation normalization requires full text
L02,"Nichols and Mullins, J. Appl. Phys. 36 (1965), doi:10.1063/1.1714360",surface diffusion,surface transport relaxes curvature without center approach,"D_s,gamma,r,T","shape,r,T",r^-4 characteristic shape time,surface diffusivity,geometry,False,True,False,False,geometry coefficient,primary bibliographic record; used only for non-densifying accommodation
L03,"Entrapped-gas sintering study (1971), doi:10.1016/0025-5416(71)90060-7",closed gas opposition,"sigma=max(2 gamma/r-Pgas,0)","gamma,r,Pgas","r,V,T,Pgas",r^-1 stress,none,ideal-gas inventory,False,False,False,True,initial gas amount,primary record; abstract-level access
L04,"Densification of ceramics containing entrapped gases (1989), doi:10.1016/0955-2219(89)90020-4",gas-limited densification,gas pressure retards or arrests pore shrinkage,"transport,gas,geometry","r,V,T",model dependent,transport law,geometry,True,False,False,False,full coefficients,primary record; abstract-level access
L05,"Watanabe and Masuda, J. Jpn. Soc. Powder Metall. 29 (1982), doi:10.2497/jjspm.29.151",pore pinning,pinning strength scales with pore fraction divided by radius,"r_p,f_v,gamma_GB","pore bins,G",R_Z proportional to r_p/f_v,none,geometry,False,False,True,True,shape factor,primary paper record
L06,"Chen and Wang, Nature 404 (2000), doi:10.1038/35004548",two-step kinetic window,densification retained while boundary migration is suppressed,"GB diffusion,GB mobility,T","rho,G,T",not applicable,separate diffusion/migration barriers,experiment,True,False,True,False,material-specific kinetics,primary abstract/full summary accessible
L07,"Wang, Chen and Chen, JACS 89 (2006), doi:10.1111/j.1551-2916.2005.00763.x",two-step boundary,lower densification and upper migration boundaries,"diffusion,mobility,junction state","rho,G,T,time",not applicable,mechanism dependent,experiment,True,False,True,False,ZrO2-specific mapping,primary abstract record; Y2O3 system
L08,"Mazaheri et al., Mater. Sci. Eng. A 492 (2008), repository PDF",3Y-TZP densification and growth,closed gas retards densification; pore closure changes pinning,"Q_s,Q_g,pore state","rho,G,T",not extracted,Q_s=485+/-12 kJ/mol,experiment/MSC,True,False,True,False,closed-bin prefactor,local primary PDF; reported growth slope 546+/-23 kJ/mol
L09,"Pouchly, Maca and Shen (2013), repository PDF",two-step MSC,kinetic changes accompany closed-porosity stage,"T,rho,G","rho,G,T,time",not extracted,apparent MSC slopes,experiment,True,False,True,False,state-resolved pore data,local primary PDF
L10,1_2-step_discussion5(2).docx,requested discussion,not accessible,unknown,unknown,unknown,unknown,unknown,False,False,False,False,entire source,file absent; no claims extracted
