requested_source,status,substitute_or_note
separated_fast_chen_model.py,available_and_audited,
separated_fast_chen_search.py,available_and_audited,
relative_material_property_window_search.py,available_and_audited,
mechanism_dimensionless_groups.py,available_and_audited,
pr_desintering_memory_model.py,available_and_audited,
joint_pr_desintering_search.py,available_and_audited,
production_pr_desintering_assessment.py,available_and_audited,
pore_location_topology_model.py,available_and_audited,
pore_location_agentic_model.py,available_and_audited,
pore_location_agentic_sensitivity.py,available_and_audited,
mechanism_registry.py,available_and_audited,
agentic_mechanism_model.py,available_and_audited,
agentic_mechanism_search.py,available_and_audited,
adaptive_T2_boundary_search.py,available_and_audited,
preparation_window_search.py,available_and_audited,
production_mechanism_assessment.py,available_and_audited,
tj_constraint_ablation.py,available_and_audited,
interacting_local_region_model.py,available_and_audited,
interacting_local_region_decoder.py,available_and_audited,
local_region_decoder_corrected_postprocess.py,available_and_audited,
local_region_decoder_corrected_plots.py,available_and_audited,
audit_candidate_693168_closed_accommodation.py,available_and_audited,
audit_candidate_693168_final_plots.py,available_and_audited,
final_mechanism_synthesis_and_property_windows.py,available_and_audited,
relative_material_property_window_plots.py,available_and_audited,
observable_trajectory_effect_audit.py,available_and_audited,
topology_constrained_sintering.py,available_and_audited,
local_region_decoder_corrected_dynamic_search.py,missing_as_single_script,interacting_local_region_decoder.py + local_region_decoder_corrected_postprocess.py + candidate audit
