figure_id,figure_title,source_document,caption_text,cited_in_section,required_panels,source_data_file,data_status,notes
Figure 1,Fast firing is attributed to nucleation-limited onset; two-step sintering to PR-prepared bounded closed-pore accommodation memory,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Fast firing is attributed to nucleation-limited onset; two-step sintering to PR-prepared bounded closed-pore accommodation memory.,Final synthesis Figure 1,annotations;edges;nodes,results/figure_source_data_package/figure_01_mechanism_chains/mechanism_nodes.csv,available,Controlling exact-only synthesis reference.
Figure 2,"The 1,903 exact-promoted cases contain 485 fast-only, 119 two-step-only, 73 both-pass, and 1,226 neither cases",docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,"The 1,903 exact-promoted cases contain 485 fast-only, 119 two-step-only, 73 both-pass, and 1,226 neither cases.",Final synthesis Figure 2,axis_options;counts;phase_map,results/figure_source_data_package/figure_02_exact_property_phase_map/exact_property_phase_map.csv,available,Controlling exact-only synthesis reference.
Figure 3,The exact fast-firing Q_nuc window is finite and nucleation-facile ablation removes the effect while PR-off may preserve it,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,The exact fast-firing Q_nuc window is finite and nucleation-facile ablation removes the effect while PR-off may preserve it.,Final synthesis Figure 3,Qnuc_OAT;ablation_summary;ablations;clean_G_rho;clean_ratio;clean_time_histories;heating_rate_map;matched_density;timescales,results/figure_source_data_package/figure_03_fast_firing_property_window/fast_firing_matched_density_curves.csv,available,Controlling exact-only synthesis reference.
Figure 4,Candidate 693168 shows a conditional two-step property window; it is Tier B and not validation,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Candidate 693168 shows a conditional two-step property window; it is Tier B and not validation.,Final synthesis Figure 4,PR_threshold;Qclosed_OAT;growth_threshold;matched_density;selectivity,results/figure_source_data_package/figure_04_two_step_property_window/two_step_matched_density_curves_693168.csv,available,Controlling exact-only synthesis reference.
Figure 5,"The fine T2 map contains density-exhaustion, success, and grain-growth regimes",docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,"The fine T2 map contains density-exhaustion, success, and grain-growth regimes.",Final synthesis Figure 5,G1_T2;T1_T2;T2_diagnostics;boundaries;filled_tiles;fine_classification;map_dictionary;switch_density_T2,results/figure_source_data_package/figure_05_chen_window_boundaries/candidate_693168_fine_T2_classification.csv,available,Controlling exact-only synthesis reference.
Figure 6,Six exact Tier-B candidates demonstrate a family of conditional mechanisms and sensitivities,docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,Six exact Tier-B candidates demonstrate a family of conditional mechanisms and sensitivities.,Final synthesis Figure 6,ablation_matrix;candidate_summary;closed_fraction_relation;robustness,results/figure_source_data_package/figure_06_six_tierB_family/six_TierB_candidate_summary.csv,available,Controlling exact-only synthesis reference.
Figure 7,"Surrogate screening predicts 19,880 both-pass rows versus 73 exact both-pass cases and is promotion-only evidence",docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,"Surrogate screening predicts 19,880 both-pass rows versus 73 exact both-pass cases and is promotion-only evidence.",Final synthesis Figure 7,confusion;counts;phase_points,results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv,available,Controlling exact-only synthesis reference.
Figure 8,"Interrupted grain, pore, connectivity, and accommodation measurements provide falsification targets",docs/FINAL_MECHANISM_SYNTHESIS_CAPTIONS.md,"Interrupted grain, pore, connectivity, and accommodation measurements provide falsification targets.",Final synthesis Figure 8,measurement_map;priorities;targets,results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv,available,Controlling exact-only synthesis reference.
Candidate-F01,Fast-firing heating-rate effect,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Fast-firing heating-rate effect. Candidate 693168 is conditional Tier B, not validation.",main,dense_fast_firing_histories.csv; fast_firing_ratio_curves.csv,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv,available,conditional Tier B; not calibrated; not validation
Candidate-F02,Fast-firing time histories,docs/PUBLICATION_STYLE_FIGURE_CAPTIONS_693168.md,"Fast-firing time histories. Candidate 693168 is conditional Tier B, not validation.",fast_firing,dense_fast_firing_histories.csv,results/figure_source_data_package/fast_firing/clean_fast_firing_T_rho_G_time.csv,available,conditional Tier B; not calibrated; not validation
