figure,pdf,png,description,evidence_level
mechanism_ingredient_summary,results/relative_material_property_window_attribution/figures/mechanism_ingredient_summary.pdf,results/relative_material_property_window_attribution/figures/mechanism_ingredient_summary.png,Conceptual separation of fast-firing and two-step ingredients.,exact-first attribution
fast_firing_mechanism_attribution,results/relative_material_property_window_attribution/figures/fast_firing_mechanism_attribution.pdf,results/relative_material_property_window_attribution/figures/fast_firing_mechanism_attribution.png,Exact fast-firing trajectory and nucleation/PR attribution.,exact-first attribution
two_step_mechanism_attribution,results/relative_material_property_window_attribution/figures/two_step_mechanism_attribution.pdf,results/relative_material_property_window_attribution/figures/two_step_mechanism_attribution.png,"Candidate 693168 two-step trajectory, closed support, and finite boundaries.",exact-first attribution
relative_barrier_window_fast_firing,results/relative_material_property_window_attribution/figures/relative_barrier_window_fast_firing.pdf,results/relative_material_property_window_attribution/figures/relative_barrier_window_fast_firing.png,Exact promoted fast-firing relative-barrier maps.,exact-first attribution
relative_barrier_window_two_step,results/relative_material_property_window_attribution/figures/relative_barrier_window_two_step.pdf,results/relative_material_property_window_attribution/figures/relative_barrier_window_two_step.png,Exact promoted two-step relative-barrier and prefactor maps.,exact-first attribution
joint_behavior_phase_map,results/relative_material_property_window_attribution/figures/joint_behavior_phase_map.pdf,results/relative_material_property_window_attribution/figures/joint_behavior_phase_map.png,Exact classifications in fast and two-step dimensionless coordinates.,exact-first attribution
sensitivity_tornado_fast_firing,results/relative_material_property_window_attribution/figures/sensitivity_tornado_fast_firing.pdf,results/relative_material_property_window_attribution/figures/sensitivity_tornado_fast_firing.png,Fast-firing exact rank sensitivity across exact promotions.,exact-first attribution
sensitivity_tornado_two_step,results/relative_material_property_window_attribution/figures/sensitivity_tornado_two_step.pdf,results/relative_material_property_window_attribution/figures/sensitivity_tornado_two_step.png,Two-step exact rank sensitivity across exact promotions.,exact-first attribution
closed_accommodation_plausibility_window,results/relative_material_property_window_attribution/figures/closed_accommodation_plausibility_window.pdf,results/relative_material_property_window_attribution/figures/closed_accommodation_plausibility_window.png,Closed-store/accommodation material-property plausibility window.,exact-first attribution
six_TierB_material_window_comparison,results/relative_material_property_window_attribution/figures/six_TierB_material_window_comparison.pdf,results/relative_material_property_window_attribution/figures/six_TierB_material_window_comparison.png,Reduced material-window transfer across six exact Tier-B candidates.,exact-first attribution
common_particle_system_trends,results/relative_material_property_window_attribution/figures/common_particle_system_trends.pdf,results/relative_material_property_window_attribution/figures/common_particle_system_trends.png,Qualitative cross-system trends supported by the attribution audit.,exact-first attribution
