equation_id,equation_name,equation_latex,variable_definitions,units_or_dimensional_status,source_file,source_function,source_anchor,branches_results_using_it,evidence_role,changes_density,changes_migration,conservatively_redistributes_pore_volume,implementation_note,source_line,code_excerpt
FF-01,Capillary/pore activation stress,\sigma_{\rm loc}={4\gamma_s\over G}[1+c_\sigma{\sum_{r_i>2r_0}\phi_i\over\sum_i\phi_i}],gamma_s surface energy; G grain size; c_sigma concentration; phi_i pore volume,Pa,separated_fast_chen_model.py,material_rates,T=T_C+273.15;stress=4*p.gamma_s,final fast-firing E0021/E0142,final_evidence,False,False,False,paper-form equivalent of implemented code,33,"T=T_C+273.15;stress=4*p.gamma_s/max(G,1e-30)*(1+p.stress_concentration*np.sum(phi[radii>2*p.pore_radius0])/max(np.sum(phi),1e-300))"
FF-02,Stress-assisted nucleation time,\tau_{\rm nuc}=\nu_0^{-1}\exp[Q_{\rm nuc}/RT-v^*\sigma_{\rm loc}/(k_BT)],nu_0 attempt frequency; Q_nuc barrier; v* activation volume,s,separated_fast_chen_model.py,material_rates,tau_nuc=math.exp,final fast-firing E0021/E0142,final_evidence,False,False,False,paper-form equivalent of implemented code,34,"tau_nuc=math.exp(float(np.clip(p.Q_disconnection_nucleation/(R*T)-p.v_star*stress/(KB*T),-50,50)))/p.nu0_nucleation"
FF-03,Exchange time,"\tau_{\rm ex}=\tau_{{\rm ex},0}\exp(Q_{\rm ex}/RT)","tau_ex,0 prefactor; Q_ex barrier",s,separated_fast_chen_model.py,material_rates,tau_exchange=p.tau_exchange_prefactor,final fast-firing E0021/E0142,final_evidence,False,False,False,paper-form equivalent of implemented code,35,"tau_exchange=p.tau_exchange_prefactor*math.exp(float(np.clip(p.Q_exchange/(R*T),-50,50)))"
FF-04,Transport time,"\tau_{\rm tr}=\tau_{{\rm tr},0}G^2\exp(Q_{\rm tr}/RT)","tau_tr,0 prefactor; Q_tr barrier; G grain size",s,separated_fast_chen_model.py,material_rates,tau_transport=p.tau_transport_prefactor,final fast-firing E0021/E0142,final_evidence,False,False,False,paper-form equivalent of implemented code,36,"tau_transport=p.tau_transport_prefactor*G**2*math.exp(float(np.clip(p.Q_transport/(R*T),-50,50)))"
FF-05,Serial cycle time,\tau_{\rm cyc}=\tau_{\rm nuc}+\tau_{\rm ex}+\tau_{\rm tr},three serial waiting times,s,separated_fast_chen_model.py,material_rates,cycle=tau_transport if,full model and transport-only ablation,final_evidence,False,False,False,paper-form equivalent of implemented code,39,"cycle=tau_transport if p.ablation_mode==""transport_only"" else tau_nuc+tau_exchange+tau_transport"
FF-06,Renewal activity,a={\tau_{\rm ex}+\tau_{\rm tr}\over\tau_{\rm cyc}}=[1+\tau_{\rm nuc}/(\tau_{\rm ex}+\tau_{\rm tr})]^{-1},a renewal activity,"dimensionless [0,1]",separated_fast_chen_model.py,material_rates,activity=(tau_exchange+tau_transport)/cycle,final fast-firing E0021/E0142,final_evidence,False,False,False,paper-form equivalent of implemented code,40,"activity=(tau_exchange+tau_transport)/cycle if p.activity_form==""serial_fraction"" else 1/(1+tau_nuc/max(tau_exchange+tau_transport,1e-300))"
FF-07,Connected-fine eligibility,"\eta_{\rm geo}=\max[1-(\rho-0.82)/0.18,0]\,{\sum_{r_i\le2r_0}\phi_i\over\sum_i\phi_i}",rho density; r_i radius; r_0 reference radius,dimensionless,separated_fast_chen_model.py,material_rates,"connected=max(1-(rho-.82)/.18,0)",final fast-firing E0021/E0142,implemented_proxy,False,False,False,"implemented proxy, not derived physical law",41,"connected=max(1-(rho-.82)/.18,0);fine=float(np.sum(phi[radii<=2*p.pore_radius0])/max(np.sum(phi),1e-300));geo=connected*fine"
FF-08,Serial-cycle densification,\dot\rho=\eta_{\rm geo}\epsilon_{\rm event}\zeta_\eta/\tau_{\rm cyc},epsilon_event density gain; zeta_eta scale ratio,s^-1,separated_fast_chen_model.py,material_rates,rho_dot=geo*p.event_strain,final fast-firing E0021/E0142,final_evidence,True,False,False,paper-form equivalent of implemented code,42,"rho_dot=geo*p.event_strain/max(cycle,1e-300)*p.zeta_eta_ratio"
FF-09,Low-activity surface redistribution,"J_{\rm PR}=k_{\rm PR}D_{s,0}e^{-Q_s/RT}r_0^{-2}(1-a)^2f_{\rm fine}",surface diffusion and PR parameters,s^-1,separated_fast_chen_model.py,material_rates,pr=p.PR_prefactor*surface*low_activity*fine,PR-off fast-firing ablation,causal_ablation,False,False,True,paper-form equivalent of implemented code,46,pr=p.PR_prefactor*surface*low_activity*fine
FF-10,Intrinsic grain growth,"\dot G_0=D_{{\rm GB},0}e^{-Q_{\rm GB}/RT}\gamma_{\rm GB}/G",GB mobility/diffusion parameters,m s^-1,separated_fast_chen_model.py,material_rates,growth_base=gb*p.gamma_GB,fast growth and upper-bound channel,final_evidence,False,True,False,paper-form equivalent of implemented code,49,"growth_base=gb*p.gamma_GB/max(G,1e-30)"
FF-11,Migration-only topology factor,\Gamma_{\rm top}=[1+D_{\rm TJ}X_{\rm str}/(1+\Lambda/K)+D_p\eta_pC_p]^{-1},X_str structural state; C_p coverage; Lambda/K completion proxy,dimensionless,separated_fast_chen_model.py,topology_growth_factor,"return 1/(1+max(drag,0))",separated topology closures,diagnostic_only,False,True,False,paper-form equivalent of implemented code,61,"return 1/(1+max(drag,0)),dict(X_J=X,Lambda_over_K=completion,pore_drag=drag)"
FF-12,Conservative adjacent-bin PR update,\phi_i^{n+1}=\phi_i^n-J_i\Delta t+J_{i-1}\Delta t,J_i adjacent-bin volume flux,pore-volume fraction,separated_fast_chen_model.py,run,"s[""phi""][:-1]-=move",fast PR ablation,causal_ablation,False,False,True,paper-form equivalent of implemented code,84,"move=np.minimum(d[""PR_propensity""]*s[""phi""][:-1]*dt,.2*s[""phi""][:-1]);s[""phi""][:-1]-=move;s[""phi""][1:]+=move"
PR-01,Fine-bin logistic weight,w_i^{\rm fine}=[1+\exp((r_i/r_0-r_m)/w_r)]^{-1},r_m midpoint; w_r width,dimensionless,pr_desintering_memory_model.py,local_competition,fine_weight = 1.0 /,production PR memory,negative_control,False,False,False,paper-form equivalent of implemented code,78,fine_weight = 1.0 / (1.0 + np.exp(np.clip((radii / r_ref - p.fine_radius_mid_ratio) /
PR-02,Low-renewal gate,g_{\rm low}=\operatorname{sigmoid}[(a_m-a)/w_a](1-a)^{p_a},"a_m,w_a,p_a gate parameters",dimensionless,pr_desintering_memory_model.py,local_competition,low_activity = _sig,production PR memory,negative_control,False,False,False,paper-form equivalent of implemented code,81,low_activity = _sig((p.renewal_gate_mid - activity) / p.renewal_gate_width) * (1 - activity) ** p.renewal_power
PR-03,Relative PR thermal factor,\theta_{\rm PR}=\exp[-Q_{\rm PR}R^{-1}(T^{-1}-T_{\rm ref}^{-1})],Q_PR barrier; T_ref reference temperature,dimensionless,pr_desintering_memory_model.py,local_competition,thermal = math.exp,production PR memory,negative_control,False,False,False,paper-form equivalent of implemented code,84,"thermal = math.exp(float(np.clip(-p.Q_PR_J_mol / R * (1 / T - 1 / Tref), -40, 40)))"
PR-04,Connected fine topology gate,g_{\rm top}=[\sum_i(\phi_i^{GB}+\phi_i^{TJ})w_i^{fine}/\sum_i(\phi_i^{GB}+\phi_i^{TJ})]^{p_{\rm top}},location pore stores; p_top exponent,dimensionless,pr_desintering_memory_model.py,local_competition,topology_gate = (fine_connected / connected_total),production PR memory,negative_control,False,False,False,paper-form equivalent of implemented code,88,topology_gate = (fine_connected / connected_total) ** p.topology_power
PR-05,PR source by bin,J_i=k_{\rm PR}\theta_{\rm PR}g_{\rm low}g_{\rm top}\alpha_{\rm attr}(\phi_i^{GB}+\phi_i^{TJ})w_i^{fine}(r_0/r_i)^{q_{\rm PR}},alpha_attr attrition; q_PR size exponent,pore fraction s^-1,pr_desintering_memory_model.py,local_competition,source = J_total * propensity_bins,production PR memory,negative_control,False,False,True,paper-form equivalent of implemented code,92,source = J_total * propensity_bins
PR-06,Conservative PR partitions,"J^{GB}_{i\to i+1}=s_{sm}J_i^{GB},\ J_i^{GB\to TJ}=s_{GT}J_i^{GB},\ J_i^{TJ\to iso}=s_{TI}J_i^{TJ}",three nonnegative shares sum to one,pore fraction s^-1,pr_desintering_memory_model.py,local_competition,pr_smooth[:-1] -= move,production PR memory,negative_control,False,False,True,paper-form equivalent of implemented code,97,pr_smooth[:-1] -= move
PR-07,Densification/PR competition,"w_{\rm dens}=H_{\rm dens}/(H_{\rm dens}+H_{\rm PR}),\quad w_{\rm PR}=1-w_{\rm dens}",H_dens density hazard; H_PR relocation hazard,dimensionless,pr_desintering_memory_model.py,local_competition,w_dens = H_dens /,production PR memory,negative_control,False,False,False,paper-form equivalent of implemented code,111,"w_dens = H_dens / max(H_dens + H_PR, 1e-300) if p.early_memory_mode != ""disabled"" else 1.0"
PR-08,Competition-scaled removal,"\dot\phi_{GB,rem}=w_{\rm dens}\dot\phi^0_{GB,rem},\quad\dot\phi_{TJ,rem}=w_{\rm dens}\dot\phi^0_{TJ,rem}",superscript 0 precompetition flux,s^-1,pr_desintering_memory_model.py,local_competition,"d[""GBseg_remove""] = old_gb * w_dens",production PR memory,negative_control,True,False,False,paper-form equivalent of implemented code,114,"d[""GBseg_remove""] = old_gb * w_dens"
PR-09,PR/densifying work proxies,"P_{\rm PR}=\gamma_sJ_{\rm PR}/r_0,\quad P_{\rm dens}=\sigma_{\rm act}\dot\rho",non-densifying and densifying work diagnostics,power proxy,pr_desintering_memory_model.py,local_competition,capillary_work = gamma * pr_flux,production PR diagnostics,diagnostic_only,False,False,False,paper-form equivalent of implemented code,122,"capillary_work = gamma * pr_flux / max(r_ref, 1e-30)"
PL-01,Three-store pore conservation,\rho=1-\sum_i(\phi_i^{GB}+\phi_i^{TJ}+\phi_i^{iso}),location pore stores,dimensionless,pore_location_topology_model.py,run,s.rho=1-float(np.sum(s.phi_total)),pore-location topology,negative_control,True,False,False,paper-form equivalent of implemented code,190,"s.rho=1-float(np.sum(s.phi_total));s.N_GBseg=_number(s.phi_GBseg,s.pore_radii);s.N_TJ=_number(s.phi_TJ,s.pore_radii);s.N_iso=_number(s.phi_iso,s.pore_radii)"
PL-02,GB coverage,"C_{GB}=1-\exp[-\chi_{GB}A_p^{GB}/A_{GB}],\quad A_{GB}=2/G",projected pore area and GB area,dimensionless,pore_location_topology_model.py,topology_diagnostics,C_GB=1-math.exp,pore-location topology,negative_control,False,False,False,paper-form equivalent of implemented code,102,"C_GB=1-math.exp(-max(arg_GB,0));C_TJ=1-math.exp(-max(arg_TJ,0))"
PL-03,TJ occupancy,"C_{TJ}=1-\exp[-\chi_{TJ}L_p^{TJ}/L_{TJ}],\quad L_{TJ}=6/G^2",pore-line and TJ-line densities,dimensionless,pore_location_topology_model.py,topology_diagnostics,C_TJ=1-math.exp,pore-location/TJ models,negative_control,False,False,False,paper-form equivalent of implemented code,102,"C_GB=1-math.exp(-max(arg_GB,0));C_TJ=1-math.exp(-max(arg_TJ,0))"
