mechanism_closure,key_equation_ids,tested_conditions_count,count_basis,outcome,final_role,reason
Aggregate PR/topology baseline,NC-01;NC-02;NC-03,,bounded historical audit,negative fast control,negative control,topology moved boundaries
Pore-location topology,PL-01..PL-06,,bounded historical audit,no nanoscale window or fast trajectory,negative control,placement insufficient
Local action allocation,AL-01..AL-03,,bounded historical audit,no controlling effect,negative control,local competition insufficient
Persistent junction drag,TJ-01..TJ-03,,registered family,insufficient alone,diagnostic,migration-only
TJ multihit,TJ-04..TJ-07,,q0/q1 maps,earlier Chen contributor,diagnostic,not primary for 693168
Persistent junction + TJ multihit,TJ-01..TJ-08,,earlier exact maps,finite Chen windows; no fast trajectory,negative control,prior Chen family
Production PR/de-sintering memory,PR-01..PR-09,,production campaign,internal memory; weak fast trajectory,negative control,conservative PR
Observable trajectory audit,MET-01;MET-02,,matched-density audit,superseded raw HR scoring,controlling metric,censor-aware rule
Heterogeneity/residual stress,LR-02;LR-10,,bounded audit,1.662 ratio over 0.008 density,negative control,failed span
Persistent defect memory,NC-03,,bounded audit,large ratio in unattained interval,negative control,unattained
Local connected-sink mixture,NC-03,,bounded audit,large ratio only censored,negative control,censored
Late-stage closed-pore trajectory,LR-01;LR-03;LR-05,,bounded audit,limited 0.95; no 0.98 support,negative control,precursor
Separated nucleation-limited fast firing,FF-01..FF-10;MET-02,1000,exact fast promotions,55.8% full; 19.3% facile; 71.7% PR-off,controlling fast firing,base ratio 1.796/span 0.17
Grain-growth-driven pore coalescence,PR-06;PL-06,,bounded audit,incomplete joint mechanism,negative control,precursor
PR lower-bound plus coalescence,PR-05;PR-06;MET-05,,anchor audit,lower-bound candidates,diagnostic,bridge precursor
Coupled PR-sweep state,PR-05;LR-07;LR-08,,bounded audit,interaction studied,diagnostic,decoder precursor
Decoder-corrected local-region model,LR-01;LR-03;LR-05..LR-12,6,exact Tier-B base candidates,six conditional Tier-B candidates,controlling two-step,fingerprint-corrected
Candidate 693168 audit,LR-01;LR-05..LR-12;MET-03..MET-06,101,fine T2 points; 12 ablations; 30 IC rows,conditional Tier B; finite window,controlling two-step,closed state uncalibrated
Relative material-property window,PROP-01..PROP-08,50655,screen; 1000+1000 exact promotions,1903 exact: 485 fast; 119 two; 73 both; 1226 neither,final attribution,screen 19880 both is not evidence
